,State,City,Population,V_crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,city,city_ascii,state_name,county_fips,county_name,population,density,source,incorporated,ranking,isMetro,areaname,family_member_count,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,taxes,total_cost,median_family_income
27469,OKLAHOMA,BOISE CITY,"1,077",3,0.0,0,0,3,13,7,6,0,BOISE CITY,Boise City,OKLAHOMA,40025,CIMARRON,1085,289,polygon,True,3,False,"Cimarron County, OK",2p2c,8736.0,9174.53544,16030.6464,16488.9648,6489.6936,8529.48408,79183.0428,58428.45703125
27479,OREGON,GLADSTONE,"12,340",24,0.0,7,3,14,245,38,177,30,GLADSTONE,Gladstone,OREGON,41005,CLACKAMAS,12324,1986,polygon,True,3,True,"Portland-Vancouver-Hillsboro, OR-WA MSA",2p2c,18836.2212,10433.78388,15350.79,13280.8548,10605.6768,17784.0864,107566.02,99735.6171875
27489,OREGON,WEST LINN,"26,962",19,0.0,9,2,8,231,21,196,14,WEST LINN,West Linn,OREGON,41005,CLACKAMAS,26736,1393,polygon,True,3,True,"Portland-Vancouver-Hillsboro, OR-WA MSA",2p2c,18836.2212,10433.78388,15350.79,13280.8548,10605.6768,17784.0864,107566.02,99735.6171875
27499,OREGON,LAKE OSWEGO,"39,888",24,1.0,7,6,10,481,55,380,46,LAKE OSWEGO,Lake Oswego,OREGON,41005,CLACKAMAS,39822,1426,polygon,True,3,True,"Portland-Vancouver-Hillsboro, OR-WA MSA",2p2c,18836.2212,10433.78388,15350.79,13280.8548,10605.6768,17784.0864,107566.02,99735.6171875
27509,OREGON,CANBY,"17,962",32,0.0,8,0,24,187,17,156,14,CANBY,Canby,OREGON,41005,CLACKAMAS,19393,1545,polygon,True,3,True,"Portland-Vancouver-Hillsboro, OR-WA MSA",2p2c,18836.2212,10433.78388,15350.79,13280.8548,10605.6768,17784.0864,107566.02,99735.6171875
27519,OREGON,MOLALLA,"9,328",9,0.0,4,1,4,67,10,55,2,MOLALLA,Molalla,OREGON,41005,CLACKAMAS,10001,1469,polygon,True,3,True,"Portland-Vancouver-Hillsboro, OR-WA MSA",2p2c,18836.2212,10433.78388,15350.79,13280.8548,10605.6768,17784.0864,107566.02,99735.6171875
27529,OREGON,OREGON CITY,"37,723",107,0.0,13,10,84,644,54,516,74,OREGON CITY,Oregon City,OREGON,41005,CLACKAMAS,37339,1459,polygon,True,3,True,"Portland-Vancouver-Hillsboro, OR-WA MSA",2p2c,18836.2212,10433.78388,15350.79,13280.8548,10605.6768,17784.0864,107566.02,99735.6171875
27538,TENNESSEE,TAZEWELL,"2,273",6,0.0,0,0,6,64,11,36,17,TAZEWELL,Tazewell,TENNESSEE,47025,CLAIBORNE,2276,202,polygon,True,3,False,"Claiborne County, TN",2p2c,7956.0,9294.46368,14039.5632,14405.322,6250.52268,3816.53508,64461.5328,50453.09765625
27568,TENNESSEE,NEW TAZEWELL,"2,702",7,0.0,0,0,7,76,6,64,6,NEW TAZEWELL,New Tazewell,TENNESSEE,47025,CLAIBORNE,4116,207,polygon,True,3,False,"Claiborne County, TN",2p2c,7956.0,9294.46368,14039.5632,14405.322,6250.52268,3816.53508,64461.5328,50453.09765625
27590,WASHINGTON,FORKS,"3,903",11,0.0,1,0,10,65,11,51,3,FORKS,Forks,WASHINGTON,53009,CLALLAM,4327,364,polygon,True,3,False,"Clallam County, WA",2p2c,12432.0,9924.08784,15683.0328,14736.4956,8100.49224,6754.67208,81213.3228,70764.7421875
27600,WASHINGTON,SEQUIM,"7,599",16,2.0,4,0,10,316,45,263,8,SEQUIM,Sequim,WASHINGTON,53009,CLALLAM,22304,466,polygon,True,3,False,"Clallam County, WA",2p2c,12432.0,9924.08784,15683.0328,14736.4956,8100.49224,6754.67208,81213.3228,70764.7421875
27610,WASHINGTON,PORT ANGELES,"20,207",117,0.0,38,14,65,719,127,529,63,PORT ANGELES,Port Angeles,WASHINGTON,53009,CLALLAM,24293,729,polygon,True,3,False,"Clallam County, WA",2p2c,12432.0,9924.08784,15683.0328,14736.4956,8100.49224,6754.67208,81213.3228,70764.7421875
27623,MICHIGAN,CLARE,"3,061",10,0.0,5,0,5,39,5,34,0,CLARE,Clare,MICHIGAN,26035,CLARE,5522,319,polygon,True,3,False,"Clare County, MI",2p2c,8808.0,9774.17796,15004.9896,13535.4756,6733.05612,7755.20292,75311.9184,49955.0859375
27637,SOUTH CAROLINA,SUMMERTON,939,9,0.0,0,2,7,47,16,31,0,SUMMERTON,Summerton,SOUTH CAROLINA,45027,CLARENDON,927,264,polygon,True,3,False,"Clarendon County, SC",2p2c,8148.0,8335.03488,13779.0252,14225.6988,5972.45328,3935.4804,61194.4224,55169.30859375
27647,SOUTH CAROLINA,MANNING,"3,921",58,1.0,2,6,49,341,45,292,4,MANNING,Manning,SOUTH CAROLINA,45027,CLARENDON,4735,511,polygon,True,3,False,"Clarendon County, SC",2p2c,8148.0,8335.03488,13779.0252,14225.6988,5972.45328,3935.4804,61194.4224,55169.30859375
27653,NEVADA,NORTH LAS VEGAS,"249,854","2,158",18.0,118,457,"1,565","5,086","1,200","2,773","1,113",NORTH LAS VEGAS,North Las Vegas,NEVADA,32003,CLARK,251974,992,polygon,True,2,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
27773,WASHINGTON,RIDGEFIELD,"8,955",10,0.0,3,1,6,74,16,58,0,RIDGEFIELD,Ridgefield,WASHINGTON,53011,CLARK,9153,481,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
27893,NEVADA,HENDERSON,"317,732",543,9.0,75,191,268,"5,554",907,"4,093",554,HENDERSON,Henderson,NEVADA,32003,CLARK,320189,1165,polygon,True,2,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
28013,NEVADA,MESQUITE,"19,612",26,0.0,20,2,4,224,47,158,19,MESQUITE,Mesquite,NEVADA,32003,CLARK,19726,241,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
28133,WASHINGTON,VANCOUVER,"185,034",889,3.0,206,185,495,"5,998",888,"4,302",808,VANCOUVER,Vancouver,WASHINGTON,53011,CLARK,184463,1461,polygon,True,2,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
28253,INDIANA,SELLERSBURG,"8,949",5,0.0,2,2,1,76,13,49,14,SELLERSBURG,Sellersburg,INDIANA,18019,CLARK,8908,468,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
28373,WASHINGTON,WASHOUGAL,"16,305",24,1.0,9,4,10,235,34,183,18,WASHOUGAL,Washougal,WASHINGTON,53011,CLARK,16107,1073,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
28493,ILLINOIS,MARTINSVILLE,"1,097",0,0.0,0,0,0,20,0,20,0,MARTINSVILLE,Martinsville,ILLINOIS,17023,CLARK,1088,207,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
28613,NEVADA,BOULDER CITY,"16,102",19,1.0,2,3,13,114,27,71,16,BOULDER CITY,Boulder City,NEVADA,32003,CLARK,16207,30,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
28733,INDIANA,JEFFERSONVILLE,"47,723",114,1.0,19,22,72,"1,341",138,994,209,JEFFERSONVILLE,Jeffersonville,INDIANA,18019,CLARK,48126,544,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
28853,ILLINOIS,CASEY,"2,618",8,0.0,2,0,6,38,6,32,0,CASEY,Casey,ILLINOIS,17023,CLARK,2681,470,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
28973,INDIANA,CLARKSVILLE,"21,630",118,0.0,5,8,105,"1,263",80,"1,102",81,CLARKSVILLE,Clarksville,INDIANA,18019,CLARK,21558,835,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
29093,ILLINOIS,WESTFIELD,556,0,0.0,0,0,0,2,1,1,0,WESTFIELD,Westfield,ILLINOIS,17023,CLARK,558,220,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
29213,ILLINOIS,MARSHALL,"3,833",4,0.0,0,0,4,35,5,29,1,MARSHALL,Marshall,ILLINOIS,17023,CLARK,3811,406,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
29333,WASHINGTON,LA CENTER,"3,324",3,0.0,0,1,2,41,11,29,1,LA CENTER,La Center,WASHINGTON,53011,CLARK,3404,533,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
29453,ARKANSAS,GURDON,"2,069",19,0.0,5,0,14,32,8,19,5,GURDON,Gurdon,ARKANSAS,5019,CLARK,2085,331,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
29573,WISCONSIN,THORP,"1,618",0,0.0,0,0,0,0,0,0,0,THORP,Thorp,WISCONSIN,55019,CLARK,1611,417,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
29693,ARKANSAS,AMITY,675,1,0.0,0,0,1,2,0,2,0,AMITY,Amity,ARKANSAS,5019,CLARK,685,82,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
29813,SOUTH DAKOTA,CLARK,"1,056",0,0.0,0,0,0,2,1,1,0,CLARK,Clark,SOUTH DAKOTA,46025,CLARK,1061,316,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
29933,WASHINGTON,CAMAS,"24,388",10,1.0,4,2,3,221,30,180,11,CAMAS,Camas,WASHINGTON,53011,CLARK,24418,669,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
30053,WISCONSIN,NEILLSVILLE,"2,388",1,0.0,0,0,1,27,3,24,0,NEILLSVILLE,Neillsville,WISCONSIN,55019,CLARK,2409,338,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
30173,OHIO,SPRINGFIELD,"59,128",292,3.0,14,124,151,"2,992",763,"1,978",251,SPRINGFIELD,Springfield,OHIO,39023,CLARK,82820,883,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
30293,ARKANSAS,CADDO VALLEY,588,1,0.0,1,0,0,34,2,30,2,CADDO VALLEY,Caddo Valley,ARKANSAS,5019,CLARK,642,80,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
30413,WASHINGTON,BATTLE GROUND,"21,375",17,0.0,8,5,4,444,53,365,26,BATTLE GROUND,Battle Ground,WASHINGTON,53011,CLARK,21252,964,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
30533,KENTUCKY,WINCHESTER,"18,605",44,0.0,6,13,25,823,119,621,83,WINCHESTER,Winchester,KENTUCKY,21049,CLARK,26083,783,polygon,True,3,True,"Las Vegas-Henderson-Paradise, NV MSA",2p2c,13716.0,9924.08784,13797.3468,11700.16044,8565.73608,6858.66432,81813.4332,71994.8828125
30665,VIRGINIA,BERRYVILLE,"4,363",1,0.0,0,0,1,33,6,27,0,BERRYVILLE,Berryville,VIRGINIA,51043,CLARKE,4467,743,polygon,True,3,True,"Athens-Clarke County, GA MSA",2p2c,9871.63404,9384.41088,13183.95,14193.648,6977.22432,7082.21484,71360.8416,56667.44921875
30715,IOWA,OSCEOLA,"5,224",24,0.0,5,0,19,125,30,84,11,OSCEOLA,Osceola,IOWA,19039,CLARKE,5242,285,polygon,True,3,True,"Athens-Clarke County, GA MSA",2p2c,9871.63404,9384.41088,13183.95,14193.648,6977.22432,7082.21484,71360.8416,56667.44921875
30758,OREGON,ASTORIA,"10,040",75,0.0,9,11,55,336,66,255,15,ASTORIA,Astoria,OREGON,41007,CLATSOP,14916,630,polygon,True,3,False,"Clatsop County, OR",2p2c,12336.0,9744.1956,15449.4804,15706.4676,8000.52612,13244.2572,90142.4292,73672.71875
30768,OREGON,CANNON BEACH,"1,756",0,0.0,0,0,0,23,1,21,1,CANNON BEACH,Cannon Beach,OREGON,41007,CLATSOP,1768,434,polygon,True,3,False,"Clatsop County, OR",2p2c,12336.0,9744.1956,15449.4804,15706.4676,8000.52612,13244.2572,90142.4292,73672.71875
30778,OREGON,GEARHART,"1,612",0,0.0,0,0,0,20,1,19,0,GEARHART,Gearhart,OREGON,41007,CLATSOP,1634,338,polygon,True,3,False,"Clatsop County, OR",2p2c,12336.0,9744.1956,15449.4804,15706.4676,8000.52612,13244.2572,90142.4292,73672.71875
30788,OREGON,WARRENTON,"5,772",21,0.0,3,8,10,407,23,374,10,WARRENTON,Warrenton,OREGON,41007,CLATSOP,5739,175,polygon,True,3,False,"Clatsop County, OR",2p2c,12336.0,9744.1956,15449.4804,15706.4676,8000.52612,13244.2572,90142.4292,73672.71875
30804,MISSOURI,GLADSTONE,"27,553",89,1.0,12,14,62,725,102,504,119,GLADSTONE,Gladstone,MISSOURI,29047,CLAY,27489,1313,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
30984,ARKANSAS,CORNING,"3,093",10,0.0,2,0,8,41,13,22,6,CORNING,Corning,ARKANSAS,5021,CLAY,3056,368,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
31164,MISSOURI,NORTH KANSAS CITY,"4,573",29,1.0,7,7,14,377,19,278,80,NORTH KANSAS CITY,North Kansas City,MISSOURI,29047,CLAY,4571,400,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
31344,MISSOURI,EXCELSIOR SPRINGS,"11,715",15,0.0,8,0,7,253,32,201,20,EXCELSIOR SPRINGS,Excelsior Springs,MISSOURI,29047,CLAY,11731,418,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
31524,FLORIDA,ORANGE PARK,"8,852",13,0.0,4,1,8,153,19,123,11,ORANGE PARK,Orange Park,FLORIDA,12019,CLAY,8824,936,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
31704,ARKANSAS,PIGGOTT,"3,569",17,0.0,7,0,10,52,13,36,3,PIGGOTT,Piggott,ARKANSAS,5021,CLAY,3529,254,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
31884,TENNESSEE,CELINA,"1,453",4,0.0,0,0,4,25,3,19,3,CELINA,Celina,TENNESSEE,47027,CLAY,1420,297,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
32064,SOUTH DAKOTA,VERMILLION,"10,833",21,0.0,5,0,16,209,13,187,9,VERMILLION,Vermillion,SOUTH DAKOTA,46027,CLAY,10926,923,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
32244,MISSOURI,PLEASANT VALLEY,"3,073",1,0.0,0,0,1,35,4,20,11,PLEASANT VALLEY,Pleasant Valley,MISSOURI,29047,CLAY,3026,930,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
32424,KANSAS,CLAY CENTER,"3,946",23,0.0,1,0,22,89,15,66,8,CLAY CENTER,Clay Center,KANSAS,20027,CLAY,3983,483,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
32604,KENTUCKY,MANCHESTER,"1,318",3,0.0,1,0,2,23,7,11,5,MANCHESTER,Manchester,KENTUCKY,21051,CLAY,4787,177,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
32784,MINNESOTA,DILWORTH,"4,491",6,0.0,1,5,0,275,15,250,10,DILWORTH,Dilworth,MINNESOTA,27027,CLAY,4422,531,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
32964,MINNESOTA,BARNESVILLE,"2,608",3,0.0,0,0,3,0,0,0,0,BARNESVILLE,Barnesville,MINNESOTA,27027,CLAY,2602,485,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
33144,IOWA,SPENCER,"11,008",7,0.0,6,1,0,183,42,135,6,SPENCER,Spencer,IOWA,19041,CLAY,10952,386,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
33324,MISSISSIPPI,WEST POINT,"10,430",39,1.0,5,8,25,292,68,221,3,WEST POINT,West Point,MISSISSIPPI,28025,CLAY,10404,192,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
33504,FLORIDA,GREEN COVE SPRINGS,"8,505",30,0.0,8,3,19,182,27,144,11,GREEN COVE SPRINGS,Green Cove Springs,FLORIDA,12019,CLAY,8577,439,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
33684,ILLINOIS,FLORA,"4,860",6,0.0,0,2,4,73,3,65,5,FLORA,Flora,ILLINOIS,17025,CLAY,4852,399,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
33864,MINNESOTA,HAWLEY,"2,223",1,0.0,0,0,1,6,4,2,0,HAWLEY,Hawley,MINNESOTA,27027,CLAY,2198,345,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
34044,MISSOURI,SMITHVILLE,"10,503",15,0.0,1,0,14,109,15,87,7,SMITHVILLE,Smithville,MISSOURI,29047,CLAY,10795,261,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
34224,MISSOURI,KEARNEY,"10,736",7,0.0,5,0,2,109,3,96,10,KEARNEY,Kearney,MISSOURI,29047,CLAY,10858,314,polygon,True,3,True,"Wichita Falls, TX MSA",2p2c,9317.6016,8574.89136,15939.99,18863.8824,6483.15528,5802.78108,75740.3784,71690.9375
34391,GEORGIA,FOREST PARK,"20,273",146,2.0,9,66,69,903,131,654,118,FOREST PARK,Forest Park,GEORGIA,13063,CLAYTON,20020,830,polygon,True,3,False,"Clayton County, IA",2p2c,8604.0,8694.82032,15515.9916,14002.5,6268.0452,7301.35908,70541.988,69784.125
34411,GEORGIA,MORROW,"7,636",32,0.0,5,16,11,692,33,608,51,MORROW,Morrow,GEORGIA,13063,CLAYTON,7192,823,polygon,True,3,False,"Clayton County, IA",2p2c,8604.0,8694.82032,15515.9916,14002.5,6268.0452,7301.35908,70541.988,69784.125
34431,GEORGIA,LAKE CITY,"2,858",5,0.0,0,2,3,106,18,70,18,LAKE CITY,Lake City,GEORGIA,13063,CLAYTON,2829,591,polygon,True,3,False,"Clayton County, IA",2p2c,8604.0,8694.82032,15515.9916,14002.5,6268.0452,7301.35908,70541.988,69784.125
34451,COLORADO,IDAHO SPRINGS,"1,803",14,0.0,3,0,11,92,6,78,8,IDAHO SPRINGS,Idaho Springs,COLORADO,8019,CLEAR CREEK,1786,306,polygon,True,3,True,"Denver-Aurora-Lakewood, CO MSA",2p2c,13108.7376,10763.58912,17389.5612,11879.78472,8649.88548,10705.11696,89961.2808,102842.7890625
34468,MINNESOTA,CLEARBROOK,520,3,0.0,1,0,2,24,9,15,0,CLEARBROOK,Clearbrook,MINNESOTA,27029,CLEARWATER,521,390,polygon,True,3,False,"Clearwater County, ID",2p2c,9600.0,10073.99928,15941.0388,15311.2944,7128.66576,7816.31256,77913.246,60097.046875
34482,ARKANSAS,QUITMAN,711,2,0.0,0,0,2,22,1,21,0,QUITMAN,Quitman,ARKANSAS,5023,CLEBURNE,719,143,polygon,True,3,False,"Cleburne County, AL",2p2c,7608.0,9114.5706,14354.7216,16991.9136,6059.24712,8164.6794,74187.0648,58880.2578125
34502,ARKANSAS,HEBER SPRINGS,"6,912",24,0.0,8,1,15,231,45,180,6,HEBER SPRINGS,Heber Springs,ARKANSAS,5023,CLEBURNE,6916,311,polygon,True,3,False,"Cleburne County, AL",2p2c,7608.0,9114.5706,14354.7216,16991.9136,6059.24712,8164.6794,74187.0648,58880.2578125
34523,OHIO,BATAVIA,"1,680",3,0.0,0,0,3,35,8,25,2,BATAVIA,Batavia,OHIO,39025,CLERMONT,1983,262,polygon,True,3,True,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",2p2c,10975.93728,9144.55296,14366.2692,12820.2192,7290.44676,7564.125,77778.75,84905.1640625
34533,OHIO,BETHEL,"2,809",8,0.0,1,0,7,77,14,60,3,BETHEL,Bethel,OHIO,39025,CLERMONT,3358,760,polygon,True,3,True,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",2p2c,10975.93728,9144.55296,14366.2692,12820.2192,7290.44676,7564.125,77778.75,84905.1640625
34543,OHIO,WILLIAMSBURG,"2,569",5,0.0,0,1,4,44,7,35,2,WILLIAMSBURG,Williamsburg,OHIO,39025,CLERMONT,2569,395,polygon,True,3,True,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",2p2c,10975.93728,9144.55296,14366.2692,12820.2192,7290.44676,7564.125,77778.75,84905.1640625
34553,OHIO,MILFORD,"6,880",12,0.0,8,1,3,134,13,113,8,MILFORD,Milford,OHIO,39025,CLERMONT,6855,712,polygon,True,3,True,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",2p2c,10975.93728,9144.55296,14366.2692,12820.2192,7290.44676,7564.125,77778.75,84905.1640625
34563,OHIO,NEW RICHMOND,"2,700",6,0.0,2,0,4,26,4,19,3,NEW RICHMOND,New Richmond,OHIO,39025,CLERMONT,2966,303,polygon,True,3,True,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",2p2c,10975.93728,9144.55296,14366.2692,12820.2192,7290.44676,7564.125,77778.75,84905.1640625
34575,OKLAHOMA,LEXINGTON,"2,152",5,0.0,0,0,5,42,7,33,2,LEXINGTON,Lexington,OKLAHOMA,40027,CLEVELAND,2185,352,polygon,True,3,False,"Cleveland County, NC",2p2c,8316.0,7975.25028,13722.228,16129.7172,5902.96248,6694.44504,69411.7152,53794.390625
34605,NORTH CAROLINA,KINGS MOUNTAIN,"10,965",15,1.0,3,5,6,343,67,246,30,KINGS MOUNTAIN,Kings Mountain,NORTH CAROLINA,37045,CLEVELAND,10982,315,polygon,True,3,False,"Cleveland County, NC",2p2c,8316.0,7975.25028,13722.228,16129.7172,5902.96248,6694.44504,69411.7152,53794.390625
34635,OKLAHOMA,NOBLE,"6,922",17,0.0,2,2,13,139,55,63,21,NOBLE,Noble,OKLAHOMA,40027,CLEVELAND,7053,207,polygon,True,3,False,"Cleveland County, NC",2p2c,8316.0,7975.25028,13722.228,16129.7172,5902.96248,6694.44504,69411.7152,53794.390625
34665,OKLAHOMA,NORMAN,"125,076",335,4.0,80,42,209,"3,267",498,"2,424",345,NORMAN,Norman,OKLAHOMA,40027,CLEVELAND,124880,269,polygon,True,2,False,"Cleveland County, NC",2p2c,8316.0,7975.25028,13722.228,16129.7172,5902.96248,6694.44504,69411.7152,53794.390625
34695,OKLAHOMA,MOORE,"62,998",110,1.0,22,23,64,"1,423",252,"1,026",145,MOORE,Moore,OKLAHOMA,40027,CLEVELAND,62055,1094,polygon,True,3,False,"Cleveland County, NC",2p2c,8316.0,7975.25028,13722.228,16129.7172,5902.96248,6694.44504,69411.7152,53794.390625
34723,GEORGIA,HOMERVILLE,"2,348",2,0.0,0,1,1,87,22,62,3,HOMERVILLE,Homerville,GEORGIA,13065,CLINCH,2573,259,polygon,True,3,False,"Clinch County, GA",2p2c,7776.0,9024.624,14302.3752,15554.9196,6087.52884,6131.3478,67049.4084,44875.37890625
34733,ILLINOIS,AVISTON,"2,128",1,0.0,1,0,0,6,0,5,1,AVISTON,Aviston,ILLINOIS,17027,CLINTON,2136,515,polygon,True,3,False,"Clinton County, PA",2p2c,9684.0,9324.44532,14619.828,13224.9048,6887.50932,8035.3206,77100.258,66246.7109375
34823,ILLINOIS,NEW BADEN,"3,252",2,0.0,0,1,1,19,0,17,2,NEW BADEN,New Baden,ILLINOIS,17027,CLINTON,3314,685,polygon,True,3,False,"Clinton County, PA",2p2c,9684.0,9324.44532,14619.828,13224.9048,6887.50932,8035.3206,77100.258,66246.7109375
