State,City,Population,V_crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
,Riverdale,"13,161",114,4,11,50,49,354,93,189,72,0
,River Forest,"10,869",12,0,0,4,8,232,26,195,11,0
,River Grove,"9,946",32,1,7,5,19,159,41,103,15,0
,Riverside,"8,616",9,0,5,3,1,90,19,67,4,0
,Riverton,"3,398",27,0,1,0,26,82,21,56,5,1
,Riverwoods,"3,585",1,0,1,0,0,21,4,16,1,0
,Robbins,"5,479",49,1,7,13,28,64,13,28,23,2
,Rochelle,"9,048",22,1,11,3,7,109,20,84,5,1
,Rochester,"3,714",4,0,1,2,1,23,1,22,0,0
,Rockdale,"1,924",9,0,0,0,9,13,4,7,2,0
,Rock Falls,"8,744",7,0,0,0,7,79,29,49,1,0
,Rockford,"145,719","1,711",14,125,282,"1,290","4,848","1,001","3,458",389,70
,Rock Island,"37,517",139,1,14,29,95,878,166,599,113,5
,Rockton,"7,436",8,0,7,0,1,128,5,121,2,1
,Rolling Meadows,"23,703",19,0,2,5,12,253,16,229,8,2
,Romeoville,"39,616",78,1,16,18,43,402,38,335,29,2
,Roscoe,"10,492",11,0,1,0,10,64,12,49,3,0
,Roselle,"22,642",16,1,7,3,5,146,14,122,10,1
,Rosemont,"4,094",36,0,16,6,14,504,11,488,5,0
,Rossville,"1,223",1,0,0,0,1,14,6,6,2,0
,Round Lake,"18,266",16,0,1,3,12,120,17,96,7,0
,Round Lake Beach,"27,228",40,0,8,9,23,553,20,507,26,0
,Round Lake Heights,"2,662",4,0,1,0,3,24,3,17,4,0
,Roxana,"1,439",9,0,6,0,3,25,1,24,0,0
,Royalton,"1,116",2,0,0,0,2,6,1,5,0,0
,Ruma,307,1,0,0,0,1,2,0,2,0,0
,Rushville,"2,867",5,0,0,0,5,71,14,57,0,0
,Salem,"7,053",21,0,7,2,12,334,34,288,12,0
,Sandoval,"1,207",7,0,3,1,3,34,12,18,4,25
,Sandwich,"7,364",12,0,2,1,9,25,5,18,2,0
,San Jose,602,0,0,0,0,0,1,0,0,1,0
,Sauget,164,3,0,0,2,1,66,12,31,23,0
,Sauk Village,"10,319",566,2,8,66,490,227,52,156,19,1
,Savanna,"2,767",25,0,4,1,20,71,19,50,2,0
,Schaumburg,"73,412",73,2,29,21,21,"1,561",100,"1,396",65,1
,Schiller Park,"11,480",26,0,1,6,19,192,18,163,11,1
,Shawneetown,"1,116",1,0,0,0,1,13,4,9,0,1
,Sherman,"4,753",4,0,0,0,4,27,5,22,0,0
,Shiloh,"13,177",13,0,3,2,8,189,14,167,8,1
,Shorewood,"17,606",25,0,12,2,11,150,11,127,12,0
,Sidell,570,0,0,0,0,0,1,0,1,0,0
,Silvis,"7,538",53,0,4,1,48,168,28,128,12,0
,Skokie,"63,082",150,1,18,58,73,"1,870",188,"1,619",63,1
,Sleepy Hollow,"3,273",0,0,0,0,0,11,2,9,0,0
,Smithton,"3,836",0,0,0,0,0,15,3,12,0,0
,Somonauk,"1,870",0,0,0,0,0,2,0,2,0,0
,South Barrington,"5,047",1,0,0,0,1,32,9,22,1,0
,South Beloit,"7,636",13,0,1,1,11,142,16,117,9,0
,South Chicago Heights,"4,029",18,0,5,3,10,163,11,143,9,0
,South Elgin,"23,634",16,0,4,1,11,104,12,88,4,1
,South Holland,"21,438",77,0,30,31,16,574,89,353,132,3
,South Pekin,"1,088",4,0,0,0,4,21,5,13,3,0
,South Roxana,"1,991",8,0,4,2,2,49,21,23,5,0
,Springfield,"114,393",889,9,108,208,564,"5,080","1,039","3,776",265,24
,Spring Grove,"5,702",3,0,0,0,3,18,2,15,1,0
,Spring Valley,"5,156",13,1,6,1,5,37,4,33,0,0
,Stanford,586,1,0,0,0,1,2,1,1,0,0
,St. Charles,"33,118",43,0,10,2,31,208,30,167,11,0
,Steger,"9,301",38,0,10,6,22,227,44,171,12,2
,St. Elmo,"1,389",1,0,0,0,1,19,4,15,0,0
,Sterling,"14,510",26,1,13,3,9,491,45,416,30,3
,Stickney,"6,599",4,0,1,2,1,50,6,41,3,0
,Stockton,"1,707",2,0,0,0,2,12,4,8,0,0
,Stone Park,"4,831",23,0,6,4,13,55,11,42,2,0
,Streamwood,"39,529",60,0,18,13,29,415,55,342,18,1
,Streator,"13,100",36,0,31,1,4,271,16,248,7,1
,Sullivan,"4,487",52,0,1,0,51,51,0,49,2,0
,Summit,"11,205",54,0,13,18,23,175,23,128,24,1
,Sumner,"2,949",5,0,1,0,4,12,6,4,2,0
,Swansea,"13,432",20,0,7,6,7,216,27,174,15,1
,Sycamore,"18,154",22,0,5,1,16,200,10,186,4,2
,Taylorville,"10,398",11,1,0,1,9,166,42,123,1,0
,Thayer,658,1,0,0,0,1,2,0,2,0,0
,Thomasboro,"1,094",1,0,0,0,1,9,2,7,0,0
,Thornton,"2,423",4,0,4,0,0,34,5,27,2,0
,Tilton,"2,638",8,0,2,1,5,88,20,66,2,0
,Tinley Park,"56,119",22,0,6,7,9,712,75,592,45,0
,Tolono,"3,447",2,0,2,0,0,20,7,13,0,0
,Toluca,"1,267",1,0,0,0,1,8,2,5,1,0
,Tower Lakes,"1,230",0,0,0,0,0,0,0,0,0,0
,Trenton,"2,593",2,0,0,0,2,10,3,7,0,0
,Troy,"10,345",15,0,11,0,4,73,5,62,6,0
,Tuscola,"4,336",15,0,2,0,13,54,15,33,6,1
,Union,553,0,0,0,0,0,0,0,0,0,0
,Urbana,"42,080",124,1,30,36,57,"1,090",161,890,39,5
,Valmeyer,"1,244",0,0,0,0,0,5,1,4,0,0
,Vandalia,"6,664",26,0,6,3,17,120,24,95,1,1
,Vernon Hills,"26,847",18,0,5,7,6,435,13,412,10,0
,Vienna,"1,443",0,0,0,0,0,12,3,8,1,0
,Villa Park,"21,651",34,0,10,7,17,295,17,263,15,1
,Viola,889,0,0,0,0,0,0,0,0,0,0
,Virden,"3,333",10,0,4,0,6,93,15,74,4,1
,Warren,"1,301",1,0,1,0,0,2,1,1,0,0
,Warrensburg,"1,124",3,0,0,0,3,4,0,4,0,0
,Warrenville,"13,268",10,0,2,7,1,90,14,70,6,0
,Washington,"16,897",27,0,9,1,17,168,19,147,2,0
,Watseka,"4,809",16,1,8,3,4,138,25,102,11,0
,Waukegan,"86,505",331,1,20,127,183,"1,929",350,"1,498",81,20
,Waverly,"1,200",0,0,0,0,0,10,9,1,0,0
,Wayne,"2,426",1,0,0,0,1,4,0,4,0,0
,Westchester,"16,224",19,1,2,5,11,148,43,105,0,0
,West Chicago,"27,019",38,0,13,7,18,219,35,172,12,1
,West City,640,1,0,0,0,1,78,4,70,4,0
,West Dundee,"8,388",3,0,3,0,0,108,7,98,3,0
,Western Springs,"13,460",3,0,0,0,3,131,14,112,5,0
,Westfield,556,0,0,0,0,0,2,1,1,0,0
,Westmont,"24,642",16,0,3,2,11,317,50,248,19,1
,Westville,"2,964",18,0,4,3,11,54,20,33,1,0
,Wheaton,"53,160",44,1,12,5,26,611,51,551,9,2
,Wheeling,"39,028",29,0,9,5,15,418,41,363,14,1
,Willow Springs,"5,658",2,0,1,0,1,53,4,49,0,0
,Wilmette,"27,289",9,0,2,1,6,220,32,181,7,0
,Winnebago,"2,963",1,0,0,0,1,33,3,30,0,0
,Winnetka,"12,407",1,0,0,0,1,79,13,63,3,0
,Witt,847,0,0,0,0,0,2,1,1,0,0
,Wood Dale,"13,709",13,0,3,3,7,204,14,180,10,0
,Woodridge,"33,635",37,0,10,10,17,301,78,201,22,3
,Woodstock,"25,324",18,0,7,2,9,285,19,254,12,1
,Worth,"10,534",31,0,14,6,11,70,30,32,8,1
,Yates City,653,0,0,0,0,0,4,0,4,0,0
,Yorkville,"20,541",28,0,16,5,7,142,13,124,5,0
,Zion,"23,617",130,2,32,25,71,640,96,461,83,8
INDIANA,Anderson,"54,899",242,4,62,62,114,"2,096",375,"1,526",195,
,Bedford,"13,271",28,0,3,1,24,293,34,238,21,0
,Bluffton5,"10,134",9,0,2,5,2,163,17,138,8,0
,Brownsburg,"27,005",40,0,2,6,32,255,25,206,24,3
,Carmel,"95,388",30,3,9,9,9,807,56,684,67,
,Chesterton,"13,929",9,0,5,0,4,125,15,101,9,
,Clarksville,"21,630",118,0,5,8,105,"1,263",80,"1,102",81,
,Clinton,"4,701",42,0,0,1,41,127,23,103,1,0
,Columbia City,"9,203",12,0,4,0,8,137,6,124,7,0
,Columbus,"47,991",67,0,40,17,10,"1,439",130,"1,254",55,6
,Crawfordsville,"16,136",65,3,8,3,51,345,53,269,23,2
,Crown Point,"30,341",7,0,1,2,4,290,3,271,16,0
,Cumberland5,"5,894",11,0,0,8,3,220,18,192,10,
,East Chicago,"27,717",201,7,8,78,108,"1,094",80,859,155,2
,Edinburgh5,"4,590",29,0,2,1,26,221,14,202,5,0
,Ellettsville,"6,731",10,0,3,1,6,85,18,61,6,0
,Elwood,"8,379",24,0,9,3,12,170,29,128,13,3
,Evansville,"117,700",721,11,90,153,467,"4,917",588,"3,926",403,44
,Fairmount,"2,754",9,0,1,0,8,17,13,4,0,0
,Fishers,"95,506",51,0,10,9,32,734,49,636,49,7
,Fort Wayne,"269,366",974,26,145,357,446,"7,437",990,"5,879",568,49
,Franklin5,"25,443",94,0,13,5,76,516,48,436,32,0
,Gary,"74,687",414,57,21,175,161,"2,656",567,"1,599",490,21
,Greenfield,"22,800",21,0,5,6,10,304,31,247,26,3
,Greenwood,"59,797",97,1,9,26,61,"1,528",72,"1,332",124,1
,Griffith,"15,957",11,2,4,4,1,286,26,227,33,0
,Hagerstown,"1,670",11,0,4,0,7,4,2,2,0,
,Hammond,"75,201",315,9,27,110,169,"2,792",334,"2,194",264,13
,Hartford City,"5,716",15,0,0,0,15,33,8,22,3,0
,Highland5,"22,220",19,0,3,11,5,393,37,344,12,1
,Hobart5,"27,880",39,0,10,20,9,964,50,863,51,0
,Jasper,"15,629",48,0,4,0,44,189,26,149,14,1
,Jeffersonville,"47,723",114,1,19,22,72,"1,341",138,994,209,7
,Kokomo,"57,845",392,5,25,48,314,"1,493",312,"1,081",100,1
,Lafayette,"72,585",352,5,38,55,254,"2,388",387,"1,844",157,7
,La Porte,"21,557",116,1,8,10,97,464,79,343,42,0
,Lawrence,"49,432",178,4,16,78,80,"1,087",157,743,187,3
,Ligonier,"4,371",1,0,0,0,1,25,2,13,10,
,Loogootee,"2,717",7,0,0,0,7,9,0,8,1,0
,Marion,"27,829",103,4,5,30,64,870,102,709,59,0
,Merrillville5,"34,724",50,3,15,19,13,580,67,443,70,0
,Munster5,"22,412",22,0,3,13,6,329,31,278,20,1
,New Haven,"15,821",47,2,6,15,24,326,42,244,40,3
,New Whiteland5,"6,242",3,0,0,1,2,44,7,35,2,1
,Noblesville,"64,567",32,0,16,7,9,618,29,552,37,0
,Plainfield5,"35,317",50,0,2,7,41,634,59,516,59,
,Plymouth,"9,872",13,0,6,2,5,222,10,200,12,0
,Portage,"36,800",73,1,10,5,57,583,55,493,35,
,Porter,"4,821",8,0,1,0,7,23,3,19,1,0
,Portland,"6,069",12,0,3,0,9,65,0,65,0,0
,Rensselaer,"5,820",12,0,1,3,8,203,30,173,0,0
,Sellersburg,"8,949",5,0,2,2,1,76,13,49,14,0
,Seymour,"19,941",41,2,9,3,27,868,83,724,61,1
,Shelbyville,"19,362",146,0,3,6,137,407,48,325,34,0
,South Bend,"101,944","1,357",14,56,267,"1,020","4,296",867,"2,868",561,75
,Speedway,"12,202",38,1,1,22,14,486,43,395,48,0
,St. John5,"18,478",4,0,1,3,0,124,11,105,8,0
,Tipton,"5,074",9,0,1,1,7,34,6,27,1,0
,Westfield,"43,212",16,0,6,6,4,338,13,313,12,1
,West Lafayette,"49,154",32,0,5,3,24,357,42,304,11,0
,Westville,"5,619",12,0,1,0,11,38,5,32,1,0
,Whitestown,"9,810",22,0,2,1,19,114,2,98,14,0
,Zionsville,"27,630",4,0,0,0,4,78,4,67,7,0
IOWA,Adel,"5,136",11,0,3,0,8,110,23,73,14,0
,Albia,"3,725",14,0,3,0,11,64,22,36,6,1
,Algona,"5,413",21,0,0,0,21,30,6,19,5,0
,Ames,"68,237",135,1,44,21,69,"1,171",138,975,58,2
,Atlantic,"6,514",22,0,2,0,20,182,31,144,7,2
,Audubon,"1,883",6,0,4,0,2,31,4,26,1,0
,Bettendorf,"36,972",46,1,8,7,30,474,62,375,37,0
,Bloomfield,"2,700",4,0,0,0,4,21,4,14,3,0
,Boone,"12,448",36,0,2,0,34,141,23,107,11,2
,Carlisle,"4,334",7,0,2,0,5,42,9,32,1,0
,Carroll,"9,775",9,0,2,1,6,175,27,142,6,2
,Cedar Rapids,"134,007",345,2,27,83,233,"4,470",837,"3,268",365,13
,Centerville,"5,459",13,0,2,1,10,129,35,88,6,0
,Charles City,"7,334",8,1,2,1,4,71,15,55,1,0
,Clarinda,"5,352",24,0,5,1,18,83,12,59,12,0
,Clarion,"2,729",2,0,0,0,2,32,10,15,7,0
,Clear Lake,"7,555",31,0,0,0,31,132,29,100,3,0
,Clinton,"24,982",77,0,11,12,54,911,182,685,44,3
,Clive,"17,305",7,0,1,2,4,121,10,93,18,0
,Coralville,"22,035",69,3,10,15,41,689,49,613,27,3
,Council Bluffs,"62,427",493,6,39,57,391,"3,649",529,"2,629",491,22
,Creston,"7,784",26,0,2,0,24,164,40,117,7,1
,Davenport,"102,392",609,2,84,124,399,"3,918",745,"2,830",343,17
,Decorah,"7,529",9,0,4,0,5,74,2,70,2,1
,Denison,"8,415",19,0,5,0,14,58,10,35,13,0
,Des Moines,"218,384","1,555",14,117,283,"1,141","8,933","2,284","5,336","1,313",53
,DeWitt,"5,153",8,0,3,0,5,104,24,65,15,1
,Dubuque,"57,973",110,0,34,9,67,949,138,747,64,12
,Dyersville,"4,245",5,0,0,0,5,29,12,16,1,0
,Eldridge,"6,972",2,0,0,1,1,42,10,27,5,0
,Emmetsburg,"3,691",8,0,0,0,8,32,16,15,1,0
,Estherville,"5,609",9,0,0,0,9,31,9,18,4,0
,Evansdale,"4,758",18,0,1,0,17,101,29,59,13,0
,Forest City,"4,036",7,0,3,0,4,9,3,5,1,0
,Fort Dodge,"23,973",101,2,15,12,72,724,117,566,41,6
,Fort Madison,"10,392",69,0,8,0,61,205,38,152,15,2
,Glenwood,"5,321",26,0,4,0,22,65,15,43,7,0
,Grinnell,"9,333",39,0,24,0,15,167,16,149,2,0
,Hampton,"4,207",4,0,0,0,4,16,2,14,0,0
,Harlan,"4,796",7,0,2,0,5,9,2,6,1,2
,Hawarden,"2,479",8,0,3,0,5,6,3,3,0,1
,Hiawatha,"7,441",28,0,1,0,27,113,24,81,8,3
,Humboldt,"4,578",0,0,0,0,0,48,3,41,4,0
,Independence,"6,086",22,0,0,2,20,80,20,53,7,1
,Indianola,"16,235",115,0,28,2,85,316,57,238,21,6
,Iowa City,"77,390",167,1,40,25,101,"1,252",314,867,71,2
,Iowa Falls,"5,006",11,0,3,0,8,83,4,73,6,0
,Jefferson,"4,123",3,0,0,0,3,42,4,38,0,0
,Johnston,"22,708",29,0,6,1,22,272,55,194,23,4
,Lake City,"1,649",8,0,0,0,8,16,1,15,0,0
,Lansing,941,1,0,0,0,1,22,4,17,1,0
,Le Mars,"10,018",24,0,5,0,19,166,30,122,14,1
,Manchester,"4,958",10,0,2,0,8,86,17,63,6,1
,Maquoketa,"5,972",15,0,2,0,13,138,27,98,13,1
,Marion,"40,612",68,0,9,4,55,519,119,350,50,1
,Marshalltown,"27,002",105,0,19,4,82,674,176,445,53,12
,Mason City,"26,976",176,0,20,1,155,789,116,617,56,3
,Missouri Valley,"2,609",13,0,2,0,11,45,10,33,2,0
,Monticello,"3,898",6,0,3,1,2,51,11,37,3,0
,Mount Pleasant,"8,749",12,0,0,0,12,155,38,110,7,0
,Mount Vernon,"4,449",2,0,2,0,0,29,8,19,2,1
,Muscatine,"23,823",47,0,6,2,39,320,71,221,28,4
,Nevada,"6,744",28,0,3,1,24,85,25,52,8,0
,North Liberty,"20,086",70,0,20,0,50,121,21,97,3,0
,Norwalk,"11,871",4,0,1,0,3,89,12,72,5,1
,Oelwein,"5,886",18,0,0,0,18,91,24,62,5,0
,Onawa,"2,762",11,0,4,0,7,33,6,20,7,1
,Osage,"3,538",4,0,1,0,3,7,4,3,0,0
,Osceola,"5,224",24,0,5,0,19,125,30,84,11,0
,Oskaloosa,"11,415",54,0,7,4,43,204,54,131,19,0
,Ottumwa,"24,488",134,2,18,5,109,"1,009",182,748,79,11
,Pella,"10,334",10,0,8,0,2,128,7,110,11,0
,Perry,"7,421",20,0,3,1,16,91,17,70,4,0
,Polk City,"5,013",1,0,0,0,1,25,2,20,3,0
,Postville,"2,065",4,0,1,1,2,43,5,37,1,0
,Prairie City,"1,736",1,0,0,0,1,3,2,1,0,0
,Red Oak,"5,287",33,0,7,0,26,123,39,75,9,0
,Sac City,"2,056",2,0,1,0,1,35,5,28,2,0
,Sergeant Bluff,"4,993",9,0,0,0,9,43,9,30,4,0
,Shenandoah,"4,859",7,1,0,0,6,41,12,26,3,0
,Sioux Center,"7,688",3,0,2,0,1,21,1,19,1,0
,Sioux City,"82,339",366,2,50,57,257,"3,203",645,"2,310",248,15
,Spencer,"11,008",7,0,6,1,0,183,42,135,6,0
,Spirit Lake,"5,097",30,0,4,0,26,72,13,53,6,0
,Storm Lake,"10,430",41,0,7,0,34,169,27,131,11,6
,Story City,"3,362",7,0,2,0,5,41,3,33,5,0
,Tama,"2,730",21,0,2,0,19,22,8,11,3,0
,Urbandale,"44,541",28,0,7,3,18,455,54,365,36,1
,Vinton,"5,074",10,0,1,0,9,32,8,21,3,0
,Washington,"7,315",48,0,8,0,40,132,22,102,8,0
,Waterloo,"67,723",306,1,12,38,255,"1,682",515,"1,038",129,14
,Waukee,"24,255",15,0,8,1,6,184,28,143,13,1
,Waukon,"3,654",10,0,0,0,10,77,15,60,2,0
,Waverly4,"10,187",44,0,5,0,39,,,83,6,0
,Webster City,"7,684",32,0,5,1,26,84,20,48,16,1
,West Burlington4,"2,882",16,0,0,2,14,,,189,5,1
,Williamsburg,"3,159",4,0,0,0,4,25,8,17,0,0
,Windsor Heights,"4,896",13,0,5,2,6,265,13,240,12,0
KANSAS,Abilene,"6,235",10,0,2,1,7,85,14,62,9,0
,Alma,773,0,0,0,0,0,0,0,0,0,0
,Alta Vista,419,0,0,0,0,0,0,0,0,0,0
,Anthony,"2,081",8,0,3,0,5,24,11,12,1,1
,Arkansas City,"11,718",65,0,11,5,49,434,81,326,27,1
,Arma,"1,427",5,0,0,0,5,17,4,12,1,0
,Atchison,"10,509",41,0,6,0,35,280,32,236,12,0
,Attica,556,4,0,0,0,4,10,2,8,0,0
,Atwood,"1,204",6,0,1,1,4,21,5,13,3,1
,Augusta,"9,334",29,1,3,2,23,329,32,272,25,0
,Basehor,"6,418",1,0,0,0,1,55,10,41,4,1
,Baxter Springs,"3,907",6,0,2,0,4,90,20,59,11,0
,Bel Aire,"8,252",11,0,1,1,9,126,13,97,16,0
,Belleville,"1,877",1,0,0,0,1,25,7,16,2,1
,Beloit,"3,715",8,0,2,0,6,50,17,27,6,0
,Bonner Springs,"7,850",20,0,2,0,18,150,15,114,21,1
,Bronson,308,0,0,0,0,0,0,0,0,0,0
,Burlington,"2,545",9,0,1,0,8,33,13,19,1,0
,Carbondale,"1,371",0,0,0,0,0,29,8,19,2,0
,Cheney,"2,181",2,0,0,0,2,31,6,23,2,0
,Cherryvale,"2,127",5,0,2,1,2,37,12,18,7,1
,Claflin,608,0,0,0,0,0,4,0,4,0,0
,Clay Center,"3,946",23,0,1,0,22,89,15,66,8,0
,Clearwater,"2,550",4,0,0,0,4,34,5,28,1,0
,Coffeyville,"9,260",60,1,10,5,44,325,69,234,22,4
,Colby,"5,305",14,0,1,0,13,75,8,61,6,1
,Colony,410,1,0,0,0,1,2,2,0,0,0
,Columbus,"3,042",4,0,0,1,3,49,12,32,5,2
,Concordia,"4,904",40,0,4,0,36,92,13,73,6,2
,Derby6,"25,012",25,0,12,1,12,,32,,32,2
,Dodge City,"27,314",129,0,13,9,107,613,85,474,54,4
,Edwardsville,"4,505",22,0,4,1,17,112,16,86,10,1
,El Dorado,"12,899",17,0,3,5,9,361,102,225,34,2
,Elkhart,"1,775",4,0,1,0,3,16,4,12,0,0
,Ellinwood,"1,950",2,0,1,0,1,20,3,14,3,0
,Ellsworth,"2,983",8,0,1,0,7,16,1,13,2,0
,Emporia,"24,747",36,0,12,1,23,517,63,436,18,1
,Eudora,"6,414",13,0,5,0,8,61,9,50,2,0
,Fort Scott,"7,729",39,0,2,2,35,78,3,68,7,0
,Frontenac,"3,406",7,0,2,0,5,63,10,47,6,0
,Galena,"2,848",6,0,0,0,6,65,16,38,11,0
,Garden City4,"26,509",130,1,33,11,85,,,451,42,4
,Garden Plain,907,0,0,0,0,0,8,3,5,0,0
,Gardner,"22,229",32,0,5,3,24,175,7,149,19,2
,Garnett,"3,244",7,1,0,0,6,67,21,40,6,0
,Goddard,"4,764",4,0,0,0,4,33,3,28,2,0
,Goessel,496,0,0,0,0,0,3,0,3,0,0
,Goodland,"4,374",15,0,2,0,13,80,10,67,3,0
,Grandview Plaza,"1,563",18,0,1,0,17,21,6,15,0,1
,Halstead,"2,018",1,0,0,0,1,11,1,7,3,0
,Haven,"1,189",1,0,1,0,0,18,2,15,1,1
,Havensville,157,0,0,0,0,0,0,0,0,0,0
,Hays,"20,894",56,1,8,6,41,358,30,313,15,2
,Herington,"2,277",7,0,0,0,7,58,12,43,3,0
,Hesston,"3,736",6,0,0,0,6,30,9,20,1,0
,Hiawatha,"3,119",8,0,7,0,1,120,22,95,3,0
,Highland,999,4,0,3,0,1,4,1,3,0,0
,Hillsboro,"2,814",2,0,0,0,2,35,8,21,6,0
,Hoisington,"2,486",6,0,3,0,3,35,9,26,0,1
,Holton,"3,239",5,0,0,0,5,48,8,37,3,0
,Holyrood,419,0,0,0,0,0,0,0,0,0,0
,Horton,"1,679",3,0,1,0,2,22,5,16,1,0
,Hutchinson,"40,431",153,1,25,20,107,"1,290",259,970,61,11
,Independence,"8,497",84,1,6,6,71,399,93,293,13,3
,Inman,"1,327",5,0,0,0,5,10,4,6,0,0
,Iola,"5,265",23,0,4,1,18,170,39,119,12,0
,Junction City,"21,921",219,2,24,16,177,554,106,425,23,7
,Kanopolis,457,0,0,0,0,0,1,1,0,0,0
,Kingman,"2,874",10,0,0,0,10,42,10,27,5,0
,La Harpe,523,0,0,0,0,0,0,0,0,0,0
,Lake Quivira,942,0,0,0,0,0,4,0,4,0,0
,Lansing,"12,051",32,0,3,1,28,61,11,45,5,3
,Larned,"3,739",15,0,3,0,12,29,7,22,0,0
,Leawood,"35,052",19,1,4,0,14,401,57,316,28,0
,Lebo,889,0,0,0,0,0,4,0,4,0,0
,Lenexa,"56,240",87,0,17,4,66,761,69,606,86,0
,Le Roy,538,0,0,0,0,0,0,0,0,0,0
,Lindsborg,"3,269",1,0,1,0,0,43,5,36,2,0
,Little River,518,0,0,0,0,0,0,0,0,0,0
,Louisburg,"4,532",6,0,1,1,4,42,4,34,4,0
,Lyndon,"1,016",5,0,0,0,5,18,4,13,1,0
,Macksville,530,0,0,0,0,0,1,0,1,0,0
,Maize,"4,836",8,0,1,0,7,57,11,41,5,1
,Marion,"1,770",1,0,0,0,1,20,3,17,0,0
,Mayetta,349,0,0,0,0,0,1,0,1,0,0
,McLouth,839,1,0,0,0,1,3,1,1,1,0
,McPherson,"13,070",24,0,6,0,18,234,30,198,6,1
,Meade,"1,546",6,0,1,1,4,12,4,8,0,0
,Merriam,"11,197",43,0,6,7,30,484,27,388,69,0
,Minneapolis,"1,920",3,0,0,0,3,25,5,18,2,0
,Mission Hills,"3,588",1,0,0,0,1,44,14,21,9,0
,Montezuma,961,0,0,0,0,0,0,0,0,0,0
,Mound City,685,0,0,0,0,0,0,0,0,0,0
,Mulberry,522,0,0,0,0,0,14,4,10,0,0
,Mulvane,"6,451",15,0,2,1,12,122,14,103,5,0
,Neodesha,"2,289",7,0,1,0,6,20,5,14,1,0
,Newton,"18,697",91,1,21,9,60,415,77,316,22,7
,North Newton,"1,752",0,0,0,0,0,7,2,5,0,0
,Norton,"2,754",6,0,1,1,4,42,11,28,3,1
,Olathe5,"141,371",290,4,76,35,175,"1,604",123,"1,290",191,8
,Osage City,"2,807",19,0,0,0,19,28,9,15,4,0
,Osawatomie,"4,245",13,0,2,1,10,32,8,22,2,1
,Oswego,"1,682",1,0,0,0,1,11,2,6,3,0
,Ottawa6,"12,221",28,0,9,1,18,,28,,14,2
,Ozawkie,618,0,0,0,0,0,0,0,0,0,0
,Paola,"5,676",13,0,3,1,9,76,3,65,8,0
,Park City,"7,779",18,0,4,2,12,147,33,105,9,1
,Peabody,"1,098",3,0,2,0,1,27,12,14,1,0
,Perry,902,0,0,0,0,0,1,0,1,0,0
,Pittsburg6,"20,168",91,0,17,4,70,,71,,101,6
,Prairie Village,"22,508",29,0,2,3,24,243,33,182,28,0
,Pratt,"6,606",18,0,5,1,12,112,27,81,4,0
,Rose Hill,"3,969",6,0,1,0,5,32,3,27,2,0
,Russell,"4,455",18,0,0,2,16,61,21,36,4,1
,Salina,"46,567",213,2,30,27,154,"1,726",212,"1,382",132,9
,Scott City,"3,799",8,0,0,0,8,14,1,13,0,1
,Sedgwick,"1,635",4,0,1,0,3,16,1,14,1,0
,Seneca,"2,058",7,0,0,0,7,28,2,26,0,2
,Shawnee6,"66,300",141,1,7,10,123,,96,,119,7
,Spearville,795,0,0,0,0,0,0,0,0,0,0
,Sterling,"2,194",3,0,2,0,1,32,13,18,1,0
,St. Marys4,"2,636",1,0,0,0,1,,,13,2,0
,Tonganoxie4,"5,591",4,0,0,0,4,,,26,4,0
,Topeka,"125,655",895,13,74,243,565,"6,271",905,"4,404",962,3
,Troy,969,0,0,0,0,0,4,0,4,0,0
,Ulysses,"5,709",15,1,0,0,14,36,10,25,1,0
,Valley Center,"7,376",6,0,4,0,2,38,8,28,2,0
,Wamego,"4,808",14,0,1,3,10,76,6,61,9,0
,Waverly,548,0,0,0,0,0,0,0,0,0,0
,Wellington,"7,698",29,0,2,0,27,218,41,168,9,3
,Wellsville,"1,795",4,0,0,0,4,22,2,18,2,0
,Wichita,"390,080","4,451",35,367,461,"3,588","20,759","2,677","15,777","2,305",125
,Winfield,"12,023",33,1,0,2,30,403,62,309,32,3
KENTUCKY,Adairville,873,0,0,0,0,0,0,0,0,0,0
,Albany,"2,001",0,0,0,0,0,3,0,1,2,0
,Alexandria,"9,692",7,2,0,0,5,112,10,95,7,0
,Anchorage,"2,443",0,0,0,0,0,10,0,7,3,0
,Ashland,"20,222",59,3,11,14,31,740,96,608,36,2
,Auburn,"1,376",1,0,0,0,1,10,4,6,0,1
,Audubon Park,"1,504",1,0,0,0,1,27,5,20,2,0
,Augusta,"1,135",1,0,0,0,1,11,2,8,1,0
,Barbourville,"3,090",8,0,0,2,6,67,33,25,9,0
,Bardstown,"13,239",15,1,7,2,5,348,62,263,23,5
,Bardwell,671,0,0,0,0,0,3,2,1,0,0
,Beattyville,"1,194",3,0,1,0,2,3,1,1,1,0
,Beaver Dam,"3,600",1,0,0,0,1,51,0,47,4,0
,Bellefonte,827,0,0,0,0,0,0,0,0,0,0
,Bellevue,"5,749",6,0,1,2,3,78,4,67,7,0
,Benton,"4,461",4,0,1,1,2,168,16,148,4,0
,Berea,"16,074",19,0,9,1,9,208,36,141,31,0
,Bloomfield,"1,063",0,0,0,0,0,1,0,0,1,0
,Bowling Green,"69,627",203,4,63,55,81,"3,250",386,"2,610",254,1
,Brandenburg,"2,902",3,0,0,2,1,62,6,30,26,0
,Brodhead,"1,182",1,0,0,0,1,7,4,2,1,0
